     ____
    / _  |   Frida 12.6.20 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   More info at http://www.frida.re/docs/home/
Spawning `com.cz.babySister`...
Spawned `com.cz.babySister`. Resuming main thread!
[Google AOSP on msm8996::com.cz.babySister]-> message: {'type': 'send', 'payload': 'name:_ZNSt3__113basic_filebufIcNS_11char_traitsIcEEE7seekposENS_4fposI9mbstate_tEEj  address:0x79a08b5374'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6detail11ToStringAnyINSt3__112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEEES8_RKT_PNS2_9enable_ifIXsr25SupportsInsertionOperatorIS9_EE5valueEvE4typeE  address:0x79a07d65bc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3dex8tracking24DexFileTrackingRegistrar33SetAllStringDataStartRegistrationEb  address:0x79a0553558'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15DexFileVerifier20CheckLoadStringByIdxENS_3dex11StringIndexEPKc  address:0x79a0554484'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13DlOpenOatFile4LoadERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPhbbbPS7_  address:0x79a07b0ad4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space13FreeListSpaceC2ERKNSt3__112basic_stringIcNS3_11char_traitsIcEENS3_9allocatorIcEEEEPNS_6MemMapEPhSE_  address:0x79a05f929c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9BitVector5UnionEPKS0_  address:0x79a048ff38'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Locks25IsExpectedOnWeakRefAccessEPNS_9BaseMutexE  address:0x79a0495c9c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3jit12JitCodeCache8FreeCodeEPh  address:0x79a06d39b0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art35InvokeVirtualOrInterfaceWithVarArgsERKNS_33ScopedObjectAccessAlreadyRunnableEP8_jobjectP10_jmethodIDSt9__va_list  address:0x79a0822c9c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art24ThrowAbstractMethodErrorEPNS_9ArtMethodE  address:0x79a05123cc'} data: None
message: {'type': 'send', 'payload': 'name:_ZThn56_N3art2gc5space19LargeObjectMapSpace4FreeEPNS_6ThreadEPNS_6mirror6ObjectE  address:0x79a05f8bb8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Runtime18StartSignalCatcherEv  address:0x79a0831a94'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker17AllocPointerArrayEPNS_6ThreadEm  address:0x79a04d972c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15TypeLookupTableD1Ev  address:0x79a087487c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18RuntimeArgumentMap18IgnoreMaxFootprintE  address:0x79a09e74d0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN13MappedZipFile12ReadAtOffsetEPhml  address:0x79a0913ac4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ElfFileImplI10ElfTypes32E14GetSymbolTableEj  address:0x79a0568910'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15instrumentation15Instrumentation26ResetQuickAllocEntryPointsEv  address:0x79a0618108'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art14AotClassLinkerD2Ev  address:0x79a048652c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2OS15CreateEmptyFileEPKc  address:0x79a07c39cc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art20NonDebuggableClasses22non_debuggable_classesE  address:0x79a09e70e0'} data: None
message: {'type': 'send', 'payload': 'name:artAllocObjectFromCodeResolvedRegion  address:0x79a08c73e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker18GetQuickOatCodeForEPNS_9ArtMethodE  address:0x79a04e01f0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10ClassTable16CopyWithoutLocksERKS0_  address:0x79a0510300'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorIPcNS_9allocatorIS1_EEE21__push_back_slow_pathIRKS1_EEvOT_  address:0x79a0571f48'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16__treeIPN3art9HistogramImEENS1_37CompareHistorgramByTimeSpentDecliningENS_9allocatorIS4_EEE7destroyEPNS_11__tree_nodeIS4_PvEE  address:0x79a049a158'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap21CreateMainMallocSpaceEPNS_6MemMapEmmm  address:0x79a05c02b0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11StringPiece5rfindEcm  address:0x79a04972b0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorINS_4pairIPKcN3art8verifier10VerifyModeEEENS_9allocatorIS7_EEE6assignIPKS7_EENS_9enable_ifIXaasr21__is_forward_iteratorIT_EE5valuesr16is_constructibleIS7_NS_15iterator_traitsISF_E9referenceEEE5valueEvE4typeESF_SF_  address:0x79a080f43c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter14MterpSetStaticIhLNS_9Primitive4TypeE1EEEijT_PNS_9ArtMethodEPNS_6ThreadEMNS_8ArtFieldEFvNS_6ObjPtrINS_6mirror6ObjectEEES4_E  address:0x79a08ec648'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11QuasiAtomic7StartupEv  address:0x79a048db1c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker26LinkInterfaceMethodsHelper24GetOrCreateMirandaMethodEPNS_9ArtMethodERNS_32MethodNameAndSignatureComparatorE  address:0x79a04f2ab8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18RuntimeArgumentMap9AgentPathE  address:0x79a09e7b30'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__113basic_istreamIcNS_11char_traitsIcEEED1Ev  address:0x79a07d67dc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15PrintableStringEPKc  address:0x79a0876790'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space10ImageSpace13bitmap_index_E  address:0x79a09e6ed8'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art6detail20CmdlineParseArgumentIjEE  address:0x79a09da3d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier12RegisterLine37MarkAllRegistersAsConflictsExceptWideEPNS0_14MethodVerifierEj  address:0x79a08a1ed4'} data: None
message: {'type': 'send', 'payload': 'name:artGetBooleanInstanceFromCompiledCode  address:0x79a08d1338'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ClassHierarchyAnalysis33RemoveDependentsWithMethodHeadersERKNSt3__113unordered_setIPNS_20OatQuickMethodHeaderENS1_4hashIS4_EENS1_8equal_toIS4_EENS1_9allocatorIS4_EEEE  address:0x79a049d140'} data: None
